,source.ip,destination.ip,TotalConnections,Score,Skew score,MAD score,Count score,process.name,process.executable
57,2001:4958:3138:1401:d969:1a6e:1244:e656,2600:140a:a000:0:0:0:172b:a133,43,0.3511,0.72782874617737,0.0,0.3255448377791687,SearchHost.exe | msedge.exe | msedgewebview2.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\123.0.2420.81\msedgewebview2.exe
71,224.0.0.251,192.168.2.1,14,0.3424,0.04395604395604391,0.9833333333333333,0.0,svchost.exe | msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Windows\System32\svchost.exe
47,192.168.2.238,52.89.2.78,7,0.3396,0.22180451127819545,0.41666666666666663,0.38038585616705095,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
65,2001:4958:3138:1401:d969:1a6e:1244:e656,2606:4700:4400:0:0:0:ac40:961c,11,0.3308,0.6703157894736842,0.0,0.321976520727039,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
9,192.168.2.238,140.82.112.22,10,0.3278,0.38,0.0,0.6034268661599211,brave.exe | Code.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe | C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
63,2001:4958:3138:1401:d969:1a6e:1244:e656,2606:4700:4400:0:0:0:6812:21aa,10,0.3246,0.6391752577319587,0.0,0.33466021992791556,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
56,2001:4958:3138:1401:d969:1a6e:1244:e656,2600:140a:a000:0:0:0:172b:a113,13,0.3198,0.48840381991814463,0.0,0.471057839849805,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
67,2001:4958:3138:1401:d969:1a6e:1244:e656,2620:1ec:a92:0:0:0:0:175,10,0.3096,0.7404255319148936,0.0,0.18843652044717435,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
32,192.168.2.238,23.53.4.32,104,0.2989,0.3866666666666667,0.44999999999999996,0.06002301651825719,Widgets.exe | msedge.exe | msedgewebview2.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_424.1301.450.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\123.0.2420.81\msedgewebview2.exe
70,2001:4958:3138:1401:d969:1a6e:1244:e656,2a04:4e42:200:0:0:0:0:223,7,0.2743,0.259493670886076,0.0,0.5634352385298019,brave.exe | python3.12.exe | pip3.12.exe | python.exe,C:\Users\fredj\AppData\Local\Programs\Python\Python312\python.exe | C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe | C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\pip3.12.exe | C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\python3.12.exe
66,2001:4958:3138:1401:d969:1a6e:1244:e656,2606:4700:4400:0:0:0:ac40:9b8d,16,0.2652,0.5454545454545454,0.0,0.2500025521093861,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
12,192.168.2.238,18.67.39.106,18,0.2617,0.23529411764705888,0.4666666666666667,0.0832180301293652,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
14,192.168.2.238,18.67.39.3,20,0.2529,0.20077220077220082,0.43333333333333335,0.12453586441301459,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
52,2001:4958:3138:1401:d969:1a6e:1244:e656,2001:4958:300:4b1:0:0:b896:2741,32,0.243,0.15249266862170086,0.43333333333333335,0.1431429058253876,msedge.exe | msedgewebview2.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\123.0.2420.81\msedgewebview2.exe
11,192.168.2.238,140.82.114.22,9,0.2419,0.0291187739463602,0.6666666666666667,0.0298202916856705,brave.exe | Code.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe | C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
35,192.168.2.238,34.95.113.255,45,0.2383,0.051851851851851816,0.5,0.16296822086770207,com.docker.backend.exe,C:\Program Files\Docker\Docker\resources\com.docker.backend.exe
64,2001:4958:3138:1401:d969:1a6e:1244:e656,2606:4700:4400:0:0:0:6812:25e4,12,0.2358,0.303060712493728,0.0,0.40424574817690784,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
68,2001:4958:3138:1401:d969:1a6e:1244:e656,2620:1ec:bdf:0:0:0:0:35,10,0.1816,0.34983498349834985,0.0,0.19500502533220687,SearchHost.exe | Code.exe | WinStore.App.exe,C:\Program Files\WindowsApps\Microsoft.WindowsStore_22402.1401.4.0_x64__8wekyb3d8bbwe\WinStore.App.exe | C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
5,192.168.2.238,13.107.5.93,28,0.1639,0.239221140472879,0.23333333333333328,0.019184330239060736,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
58,2001:4958:3138:1401:d969:1a6e:1244:e656,2600:140a:a000:0:0:0:172b:a15b,36,0.1373,0.29668049792531115,0.0,0.1150758172596022,SearchHost.exe | msedgewebview2.exe | msedge.exe | explorer.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\123.0.2420.81\msedgewebview2.exe | C:\Windows\explorer.exe
53,2001:4958:3138:1401:d969:1a6e:1244:e656,2001:4958:300:4b1:0:0:b896:2750,21,0.1063,0.0949720670391061,0.0,0.2239771407572706,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
13,192.168.2.238,18.67.39.119,16,0.0928,0.10548977395048442,0.0,0.17301282081419456,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
36,192.168.2.238,35.164.79.207,7,0.0799,0.08379272326350606,0.033333333333333326,0.1226851363050869,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
31,192.168.2.238,23.53.4.107,43,0.0752,0.2134387351778656,0.0,0.012279983626688497,Widgets.exe | msedge.exe | msedgewebview2.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_424.1301.450.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\123.0.2420.81\msedgewebview2.exe
15,192.168.2.238,18.67.39.75,9,0.0486,0.03604587657018021,0.0,0.10987317076614694,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
